Comment,Designator,Footprint,LCSC
"47PF","C1,C2,C3,C4","Capacitor_SMD:C_0805_2012Metric","C2310635"
"100P","C12,C13","Capacitor_SMD:C_0805_2012Metric","C396715"
"100NF","C5,C6,C10,C14","Capacitor_SMD:C_0805_2012Metric","C286511"
"1N","C7,C8,C9,C11","Capacitor_SMD:C_0805_2012Metric","C130457"
"BAT54S","D3","Package_TO_SOT_SMD:SOT-23","C83935"
"1K","R11,R12","Resistor_SMD:R_0805_2012Metric","C17513"
"140K","R16,R18,R20","Resistor_SMD:R_0805_2012Metric","C245239"
"220","R1,R2","Resistor_SMD:R_0805_2012Metric","C17557"
"33K","R22,R23,R24","Resistor_SMD:R_0805_2012Metric","C17633"
"120K","R25","Resistor_SMD:R_0805_2012Metric","C17436"
"200K","R27,R30","Resistor_SMD:R_0805_2012Metric","C17539"
"66K5","R29,R32,R34,R35","Resistor_SMD:R_0805_2012Metric","C17791"
"20K","R33","Resistor_SMD:R_0805_2012Metric","C4328"
"2K","R36","Resistor_SMD:R_0805_2012Metric","C17604"
"10K","R3,R4,R7,R8,R13,R14,R15","Resistor_SMD:R_0805_2012Metric","C17414"
"100K","R5,R6,R9,R10,R17,R19,R21,R26,R28,R31","Resistor_SMD:R_0805_2012Metric","C149504"
"TL074","U1","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","C96507"
"MCP6004","U2","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","C50282"
"MCP6002","U3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C7377"
"LM4040C10IDBZR","U4","Package_TO_SOT_SMD:SOT-23","C201738"